Исследования							
Раздел прокачки	Название	минимальный уровень	Максимальный уровень	Текущий уровень	Сила за прокачку 	Время прокачки	Заблокировано
Развитие	Быстрое строительство 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение госпиталя 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение казарм 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Усиление исследования 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Первая помощь 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Интенсивное обучение 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Строительство союза 	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Быстрое строительство 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение госпиталя 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение казарм 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Усиление исследования 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Первая помощь 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Интенсивное обучение 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Исследование союза	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Быстрое строительство 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение госпиталя 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение казарм 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Усиление исследования 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Первая помощь 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Интенсивное обучение 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Эффективное лечение 	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Быстрое строительство 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение госпиталя 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение казарм 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Усиление исследования 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Первая помощь4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Интенсивное обучение 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Эффективное обучение	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Расширение гарнизона	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Развитие	Уроки выживания	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство еды 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство древесины 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство металла 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка еды 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка древесины 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка металла 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство еды 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство древесины 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Серебро союза 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство топлива 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка еды 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка древесины 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка топлива 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство еды 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство металла 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство древесины 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Серебро союза 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство топлива 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка еды 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка металла 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка древесины 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка топлива 2	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство еды 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство металла 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство древесины 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Серебро союза 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство топлива 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка еды 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка металла 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка древесины 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Заготовка топлива 3	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Серебро союза 4	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Производство ресурсов	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Экономика	Транспортировка ресурсов	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к здоровью 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к атаке 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к обороне 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стражи: бонус к урону	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к здоровью 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к атаке 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к обороне 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-стрелки: бонус к урону	0	1	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: бонус к здоровью 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: бонус к атаке 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
Герои	Герои-снайперы: бонус к обороне 1	0	5	Выбираеться пользователем	Вводиться пользователем	Вводиться пользователем	Ставиться галочка пользователем
